ÝLÇE;OKUL ADI;2022 Yüzdelik;2023 Yüzdelik;2024 Yüzdelik;2025 Tahmin ;TÜR;ALAN;;;;;;;;
MAMAK (MERKEZ);Prof. Dr. Raðýp Üner Mesleki ve Teknik Anadolu Lisesi;27.3;27.02;27.77;;Anadolu Teknik Programý;SAÐLIK HÝZMETLERÝ ALANI;;;;;;;;
YENÝMAHALLE (MERKEZ);Batýkent Þehit Demet Sezen Kýz Anadolu Ýmam Hatip Lisesi;20.39;17.99;28.01;;Anadolu Ýmam Hatip Lisesi;FEN VE SOSYAL BÝLÝMLER PROGRAMI;;;;;;;;
YENÝMAHALLE (MERKEZ);Yenimahalle Zeynep-Salih Alp Mesleki ve Teknik Anadolu Lisesi;48.05;48.55;28.63;;Anadolu Meslek Programý;BÝLÝÞÝM TEKNOLOJÝLERÝ ALANI (SINAVLI);;;;;;;;
POLATLI;Polatlý Mesleki ve Teknik Anadolu Lisesi;35.29;34.65;31.29;;Anadolu Teknik Programý;MAKÝNE VE TASARIM TEKNOLOJÝSÝ ALANI;;;;;;;;
SÝNCAN (MERKEZ);Sincan Anadolu Ýmam Hatip Lisesi;29.71;31.91;31.58;;Anadolu Ýmam Hatip Lisesi;FEN VE SOSYAL BÝLÝMLER PROGRAMI;;;;;;;;
YENÝMAHALLE (MERKEZ);Ostim Þehit Alper Zor Mesleki ve Teknik Anadolu Lisesi;40.81;35.24;31.88;;Anadolu Teknik Programý;MAKÝNE VE TASARIM TEKNOLOJÝSÝ ALANI;;;;;;;;
KEÇÝÖREN (MERKEZ);Kanuni Mesleki ve Teknik Anadolu Lisesi;34.74;30.96;31.89;;Anadolu Teknik Programý;ELEKTRÝK-ELEKTRONÝK TEKNOLOJÝSÝ ALANI;;;;;;;;
KIZILCAHAMAM;Bizim Anadolu Vakfý Gürcan Kýz Anadolu Ýmam Hatip Lisesi;0;0;32.01;;Anadolu Ýmam Hatip Lisesi;FEN VE SOSYAL BÝLÝMLER PROGRAMI;;;;;;;;
SÝNCAN (MERKEZ);Þehit Özgür Can Ýnce Mesleki ve Teknik Anadolu Lisesi;41.24;38.2;33.42;;Anadolu Teknik Programý;MAKÝNE VE TASARIM TEKNOLOJÝSÝ ALANI;;;;;;;;
ÇANKAYA (MERKEZ);Özel Harekat Þehitleri Anadolu Ýmam Hatip Lisesi;53.26;41.14;33.87;;Anadolu Ýmam Hatip Lisesi;FEN VE SOSYAL BÝLÝMLER PROGRAMI;;;;;;;;
KEÇÝÖREN (MERKEZ);Keçiören Anadolu Ýmam Hatip Lisesi;34.85;36.46;34.52;;Anadolu Ýmam Hatip Lisesi;FEN VE SOSYAL BÝLÝMLER PROGRAMI;;;;;;;;
GÖLBAÞI;Uluslararasý Millî Ýrade Kýz Anadolu Ýmam Hatip Lisesi;66.01;42.89;34.89;;Anadolu Ýmam Hatip Lisesi;FEN VE SOSYAL BÝLÝMLER PROGRAMI;;;;;;;;
YENÝMAHALLE (MERKEZ);Demetevler Kýz Anadolu Ýmam Hatip Lisesi;26.32;33.95;34.99;;Anadolu Ýmam Hatip Lisesi;FEN VE SOSYAL BÝLÝMLER PROGRAMI;;;;;;;;
KEÇÝÖREN (MERKEZ);Keçiören Borsa Ýstanbul Mesleki ve Teknik Anadolu Lisesi;38.06;34.97;35.18;;Anadolu Teknik Programý;BÝLÝÞÝM TEKNOLOJÝLERÝ ALANI;;;;;;;;
SÝNCAN (MERKEZ);Þehit Özgür Can Ýnce Mesleki ve Teknik Anadolu Lisesi;41.24;38.2;35.98;;Anadolu Teknik Programý;MOTORLU ARAÇLAR TEKNOLOJÝSÝ ALANI;;;;;;;;
ÇUBUK;Fatih Sultan Mehmet Mesleki ve Teknik Anadolu Lisesi;48.89;47.5;37.17;;Anadolu Teknik Programý;ELEKTRÝK-ELEKTRONÝK TEKNOLOJÝSÝ ALANI;;;;;;;;
ALTINDAÐ (MERKEZ);Mahir Ýz Anadolu Ýmam Hatip Lisesi;43.66;41.88;37.92;;Anadolu Ýmam Hatip Lisesi;FEN VE SOSYAL BÝLÝMLER PROGRAMI;;;;;;;;
ALTINDAÐ (MERKEZ);Ýskitler Mesleki ve Teknik Anadolu Lisesi;57.6;50.83;37.95;;Anadolu Teknik Programý;ENDÜSTRÝYEL OTOMASYON TEKNOLOJÝLERÝ ALANI;;;;;;;;
PURSAKLAR;Güzide Ülker Mesleki ve Teknik Anadolu Lisesi;40.56;39.5;39.18;;Anadolu Teknik Programý;ULAÞTIRMA HÝZMETLERÝ ALANI;;;;;;;;
SÝNCAN (MERKEZ);Þehit Erdal Koçak Mesleki ve Teknik Anadolu Lisesi;37.32;40.23;40.41;;Anadolu Teknik Programý;ADALET ALANI;;;;;;;;
ÇANKAYA (MERKEZ);Tapu Kadastro Mesleki ve Teknik Anadolu Lisesi;37.37;39.37;40.94;;Anadolu Teknik Programý;HARÝTA-TAPU-KADASTRO ALANI;;;;;;;;
MAMAK (MERKEZ);Abidinpaþa Mesleki ve Teknik Anadolu Lisesi;36.69;43.24;43.19;;Anadolu Teknik Programý;MAKÝNE VE TASARIM TEKNOLOJÝSÝ ALANI;;;;;;;;
MAMAK (MERKEZ);Abidinpaþa Mesleki ve Teknik Anadolu Lisesi;36.69;43.24;43.71;;Anadolu Teknik Programý;BÝYOMEDÝKAL CÝHAZ TEKNOLOJÝLERÝ ALANI;;;;;;;;
ALTINDAÐ (MERKEZ);Ulus Mesleki ve Teknik Anadolu Lisesi;51.73;48.64;44.54;;Anadolu Teknik Programý;ELEKTRÝK-ELEKTRONÝK TEKNOLOJÝSÝ ALANI;;;;;;;;
ALTINDAÐ (MERKEZ);Ankara Mesleki ve Teknik Anadolu Lisesi;41.91;43.59;44.58;;Anadolu Teknik Programý;ADALET ALANI;;;;;;;;
KIZILCAHAMAM;Þehit Zekeriya Yurdakul Anadolu Ýmam Hatip Lisesi;89.76;89.63;44.59;;Anadolu Ýmam Hatip Lisesi;FEN VE SOSYAL BÝLÝMLER PROGRAMI;;;;;;;;
GÖLBAÞI;Þehit Sebahattin Koçak Kýz Anadolu Ýmam Hatip Lisesi;49.14;42.97;44.66;;Anadolu Ýmam Hatip Lisesi;AÝHL ÇOCUK GELÝÞÝMÝ VE EÐÝTÝMÝ PROGRAMI;;;;;;;;
ÞEREFLÝKOÇHÝSAR;Þereflikoçhisar Anadolu Ýmam Hatip Lisesi;74.95;64.74;46.49;;Anadolu Ýmam Hatip Lisesi;FEN VE SOSYAL BÝLÝMLER PROGRAMI;;;;;;;;
AKYURT;Muhammed Hamdi Yazýr Anadolu Ýmam Hatip Lisesi;97.82;0;46.57;;Hazýrlýk Sýnýfý Bulunan Anadolu Ýmam Hatip Lisesi;FEN VE SOSYAL BÝLÝMLER PROGRAMI;;;;;;;;
POLATLI;Polatlý Anadolu Ýmam Hatip Lisesi;38.28;42.8;47.08;;Anadolu Ýmam Hatip Lisesi;FEN VE SOSYAL BÝLÝMLER PROGRAMI;;;;;;;;
YENÝMAHALLE (MERKEZ);Yenimahalle Zeynep-Salih Alp Mesleki ve Teknik Anadolu Lisesi;48.05;48.55;47.09;;Anadolu Teknik Programý;GRAFÝK VE FOTOÐRAF ALANI;;;;;;;;
ÇANKAYA (MERKEZ);Balgat Mesleki ve Teknik Anadolu Lisesi;52.48;47.93;48.47;;Anadolu Teknik Programý;ELEKTRÝK-ELEKTRONÝK TEKNOLOJÝSÝ ALANI;;;;;;;;
GÖLBAÞI;Gölbaþý Mesleki ve Teknik Anadolu Lisesi;52.18;51.13;49.65;;Anadolu Teknik Programý;ELEKTRÝK-ELEKTRONÝK TEKNOLOJÝSÝ ALANI;;;;;;;;
YENÝMAHALLE (MERKEZ);Yenimahalle Zeynep-Salih Alp Mesleki ve Teknik Anadolu Lisesi;48.05;48.55;50.99;;Anadolu Meslek Programý;YÝYECEK ÝÇECEK HÝZMETLERÝ ALANI (SINAVLI);;;;;;;;
YENÝMAHALLE (MERKEZ);Mehmet Rüþtü Uzel Mesleki ve Teknik Anadolu Lisesi;62.8;57.42;51.76;;Anadolu Teknik Programý;KÝMYA TEKNOLOJÝSÝ ALANI;;;;;;;;
KEÇÝÖREN (MERKEZ);Þehit Mehmet Karakaþoðlu Mesleki ve Teknik Anadolu Lisesi;52.26;49.93;52.5;;Anadolu Teknik Programý;MAKÝNE VE TASARIM TEKNOLOJÝSÝ ALANI;;;;;;;;
ALTINDAÐ (MERKEZ);Atatürk Mesleki ve Teknik Anadolu Lisesi;55.43;56.25;54.43;;Anadolu Meslek Programý;YÝYECEK ÝÇECEK HÝZMETLERÝ ALANI (SINAVLI);;;;;;;;
MAMAK (MERKEZ);Ege Mesleki ve Teknik Anadolu Lisesi;0;52.63;54.85;;Anadolu Teknik Programý;YENÝLENEBÝLÝR ENERJÝ TEKNOLOJÝLERÝ ALANI;;;;;;;;
SÝNCAN (MERKEZ);Baþkent OSB Mesleki ve Teknik Anadolu Lisesi;0;51.97;55.52;;Anadolu Meslek Programý;MAKÝNE VE TASARIM TEKNOLOJÝSÝ ALANI (SINAVLI);;;;;;;;
AKYURT;Akyurt Þükrü Acar Anadolu Ýmam Hatip Lisesi;33.51;87.47;56.28;;Anadolu Ýmam Hatip Lisesi;FEN VE SOSYAL BÝLÝMLER PROGRAMI;;;;;;;;
KEÇÝÖREN (MERKEZ);Kalaba Kýz Mesleki ve Teknik Anadolu Lisesi;0;0;57.35;;Anadolu Meslek Programý;ÇOCUK GELÝÞÝMÝ VE EÐÝTÝMÝ ALANI (SINAVLI);;;;;;;;
ÇANKAYA (MERKEZ);Borsa Ýstanbul Mehmet Akif Ersoy Mesleki ve Teknik Anadolu Lisesi;43.19;48.96;60.31;;Anadolu Teknik Programý;LABORATUVAR HÝZMETLERÝ ALANI;;;;;;;;
ÇANKAYA (MERKEZ);Balgat Mesleki ve Teknik Anadolu Lisesi;52.48;47.93;60.32;;Anadolu Teknik Programý;ENDÜSTRÝYEL OTOMASYON TEKNOLOJÝLERÝ ALANI;;;;;;;;
PURSAKLAR;Pursaklar Kýz Mesleki ve Teknik Anadolu Lisesi;0;0;60.62;;Anadolu Teknik Programý;ÇOCUK GELÝÞÝMÝ VE EÐÝTÝMÝ ALANI;;;;;;;;
BEYPAZARI;Beypazarý Fatih Mesleki ve Teknik Anadolu Lisesi;62.62;65.64;61.23;;Anadolu Meslek Programý;ELEKTRÝK-ELEKTRONÝK TEKNOLOJÝSÝ ALANI (SINAVLI);;;;;;;;
MAMAK (MERKEZ);Ege Mesleki ve Teknik Anadolu Lisesi;0;52.63;61.64;;Anadolu Teknik Programý;ENDÜSTRÝYEL OTOMASYON TEKNOLOJÝLERÝ ALANI;;;;;;;;
KEÇÝÖREN (MERKEZ);Aydýnlýkevler Mesleki ve Teknik Anadolu Lisesi;47.3;49.48;62.4;;Anadolu Teknik Programý;MUHASEBE VE FÝNANSMAN ALANI;;;;;;;;
ÇANKAYA (MERKEZ);Türk Telekom Mesleki ve Teknik Anadolu Lisesi;40.68;39.4;63.63;;Anadolu Teknik Programý;RADYO-TELEVÝZYON ALANI;;;;;;;;
BEYPAZARI;Beypazarý Þehit Sefa Tiftik Anadolu Ýmam Hatip Lisesi;92.87;96.22;63.67;;Anadolu Ýmam Hatip Lisesi;FEN VE SOSYAL BÝLÝMLER PROGRAMI;;;;;;;;
KEÇÝÖREN (MERKEZ);Baðlum Þehit Yakup Çapat Anadolu Ýmam Hatip Lisesi;83.36;84.4;67.31;;Anadolu Ýmam Hatip Lisesi;FEN VE SOSYAL BÝLÝMLER PROGRAMI;;;;;;;;
SÝNCAN (MERKEZ);Sincan Ahmet Andiçen Mesleki ve Teknik Anadolu Lisesi;0;65.35;68.05;;Anadolu Meslek Programý;MUHASEBE VE FÝNANSMAN ALANI (SINAVLI);;;;;;;;
KAHRAMANKAZAN;Kahramankazan Kýz Anadolu Ýmam Hatip Lisesi;60.79;61.72;68.36;;Anadolu Ýmam Hatip Lisesi;FEN VE SOSYAL BÝLÝMLER PROGRAMI;;;;;;;;
ALTINDAÐ (MERKEZ);Altýndað Mesleki ve Teknik Anadolu Lisesi;74.53;69.53;68.97;;Anadolu Teknik Programý;MAKÝNE VE TASARIM TEKNOLOJÝSÝ ALANI;;;;;;;;
GÖLBAÞI;Mogan Mesleki ve Teknik Anadolu Lisesi;74.86;63.66;69.32;;Anadolu Meslek Programý;YÝYECEK ÝÇECEK HÝZMETLERÝ ALANI (SINAVLI);;;;;;;;
ÇANKAYA (MERKEZ);Çankaya Borsa Ýstanbul Mesleki ve Teknik Anadolu Lisesi;99.7;81.34;69.76;;Anadolu Meslek Programý;YÝYECEK ÝÇECEK HÝZMETLERÝ ALANI (SINAVLI);;;;;;;;
GÖLBAÞI;Mogan Mesleki ve Teknik Anadolu Lisesi;74.86;63.66;70.07;;Anadolu Meslek Programý;KONAKLAMA VE SEYAHAT HÝZMETLERÝ ALANI (SINAVLI);;;;;;;;
YENÝMAHALLE (MERKEZ);Mimar Sinan Mesleki ve Teknik Anadolu Lisesi;44.19;46.8;71.61;;Anadolu Teknik Programý;HARÝTA-TAPU-KADASTRO ALANI;;;;;;;;
ETÝMESGUT (MERKEZ);Baðlýca Þehit Kalender Özdemir Anadolu Ýmam Hatip Lisesi;61.53;57.33;74.79;;Anadolu Ýmam Hatip Lisesi;FEN VE SOSYAL BÝLÝMLER PROGRAMI;;;;;;;;
YENÝMAHALLE (MERKEZ);Yenimahalle Zeynep-Salih Alp Mesleki ve Teknik Anadolu Lisesi;48.05;48.55;75.79;;Anadolu Meslek Programý;RADYO-TELEVÝZYON ALANI (SINAVLI);;;;;;;;
MAMAK (MERKEZ);Türközü Oðuzhan Mesleki ve Teknik Anadolu Lisesi;80.89;82.27;76.56;;Anadolu Teknik Programý;ELEKTRÝK-ELEKTRONÝK TEKNOLOJÝSÝ ALANI;;;;;;;;
GÖLBAÞI;Mehmet Akif Ersoy Anadolu Ýmam Hatip Lisesi;55.34;59.8;79.68;;Anadolu Ýmam Hatip Lisesi;FEN VE SOSYAL BÝLÝMLER PROGRAMI;;;;;;;;
AYAÞ;Abdülhamid Han Anadolu Ýmam Hatip Lisesi;83.61;71.07;80.02;;Anadolu Ýmam Hatip Lisesi;FEN VE SOSYAL BÝLÝMLER PROGRAMI;;;;;;;;
NALLIHAN;Nallýhan Fettah Güngör Mesleki ve Teknik Anadolu Lisesi;72.73;90.71;80.8;;Anadolu Teknik Programý;TARIM ALANI;;;;;;;;
YENÝMAHALLE (MERKEZ);Çiðdemtepe Þehit Mehmet Coþkun Kýlýç Mesleki ve Teknik Anadolu Lisesi;80.45;74.91;83.01;;Anadolu Teknik Programý;ELEKTRÝK-ELEKTRONÝK TEKNOLOJÝSÝ ALANI;;;;;;;;
MAMAK (MERKEZ);Battalgazi Mesleki ve Teknik Anadolu Lisesi;77.6;72.45;86.82;;Anadolu Teknik Programý;ELEKTRÝK-ELEKTRONÝK TEKNOLOJÝSÝ ALANI;;;;;;;;
MAMAK (MERKEZ);Þehit Nuri Pamir Anadolu Ýmam Hatip Lisesi;98.96;91.18;87.49;;Anadolu Ýmam Hatip Lisesi;FEN VE SOSYAL BÝLÝMLER PROGRAMI;;;;;;;;
NALLIHAN;Nallýhan Fettah Güngör Mesleki ve Teknik Anadolu Lisesi;72.73;90.71;89.09;;Anadolu Teknik Programý;ELEKTRÝK-ELEKTRONÝK TEKNOLOJÝSÝ ALANI;;;;;;;;
ELMADAÐ;Elmadað Anadolu Ýmam Hatip Lisesi;82.66;94.84;89.21;;Anadolu Ýmam Hatip Lisesi;FEN VE SOSYAL BÝLÝMLER PROGRAMI;;;;;;;;
ETÝMESGUT (MERKEZ);Eryaman Þehit Okan Koç Anadolu Ýmam Hatip Lisesi;94.19;80.31;90.34;;Anadolu Ýmam Hatip Lisesi;FEN VE SOSYAL BÝLÝMLER PROGRAMI;;;;;;;;
YENÝMAHALLE (MERKEZ);Mimar Sinan Mesleki ve Teknik Anadolu Lisesi;44.19;46.8;91.23;;Anadolu Teknik Programý;ÝNÞAAT TEKNOLOJÝSÝ ALANI;;;;;;;;
AKYURT;Muhammed Hamdi Yazýr Anadolu Ýmam Hatip Lisesi;97.82;0;91.65;;Anadolu Ýmam Hatip Lisesi;HAFIZLIK PROJESÝ (Ýlahiyat Odaklý Program);;;;;;;;
ALTINDAÐ (MERKEZ);Yýldýrým Beyazýt Anadolu Ýmam Hatip Lisesi;92.95;87.71;91.96;;Anadolu Ýmam Hatip Lisesi;FEN VE SOSYAL BÝLÝMLER PROGRAMI;;;;;;;;
GÖLBAÞI;Karaali Mesleki ve Teknik Anadolu Lisesi;0;87.04;93.16;;Anadolu Meslek Programý;TARIM ALANI;;;;;;;;
ÇANKAYA (MERKEZ);Nurten Uþan Anadolu Ýmam Hatip Lisesi;77.43;90.14;93.29;;Anadolu Ýmam Hatip Lisesi;FEN VE SOSYAL BÝLÝMLER PROGRAMI;;;;;;;;
MAMAK (MERKEZ);Osman Yüksel Serdengeçti Kýz Anadolu Ýmam Hatip Lisesi;0;83.6;93.61;;Anadolu Ýmam Hatip Lisesi;FEN VE SOSYAL BÝLÝMLER PROGRAMI;;;;;;;;
BEYPAZARI;Þehit Hacý Kazým Ozan Kýz Anadolu Ýmam Hatip Lisesi;96.74;94.94;95.73;;Anadolu Ýmam Hatip Lisesi;FEN VE SOSYAL BÝLÝMLER PROGRAMI;;;;;;;;
HAYMANA;Haymana Anadolu Ýmam Hatip Lisesi;91.5;97.64;96.21;;Anadolu Ýmam Hatip Lisesi;FEN VE SOSYAL BÝLÝMLER PROGRAMI;;;;;;;;
KEÇÝÖREN (MERKEZ);Baðlum Þehit Oðuz Kaan Usta Mesleki ve Teknik Anadolu Lisesi;76.8;97.64;97.37;;Anadolu Teknik Programý;BÝYOMEDÝKAL CÝHAZ TEKNOLOJÝLERÝ ALANI;;;;;;;;
NALLIHAN;Nallýhan Þehit Hulki Beydili Mesleki ve Teknik Anadolu Lisesi;89.77;96.75;97.61;;Anadolu Teknik Programý;LABORATUVAR HÝZMETLERÝ ALANI;;;;;;;;
YENÝMAHALLE (MERKEZ);Batýkent Þevket Evliyagil Mesleki ve Teknik Anadolu Lisesi;0;91.28;97.62;;Anadolu Teknik Programý;GAZETECÝLÝK ALANI;;;;;;;;
KAHRAMANKAZAN;Kahramankazan Fuat Erkmen Anadolu Ýmam Hatip Lisesi;89.29;89.63;97.68;;Anadolu Ýmam Hatip Lisesi;FEN VE SOSYAL BÝLÝMLER PROGRAMI;;;;;;;;
POLATLI;Polatlý Þehit Can Çalýþkan Mesleki ve Teknik Anadolu Lisesi;95.43;95.23;97.7;;Anadolu Teknik Programý;TARIM ALANI;;;;;;;;
ALTINDAÐ (MERKEZ);Atatürk Mesleki ve Teknik Anadolu Lisesi;55.43;56.25;98.26;;Anadolu Teknik Programý;GIDA TEKNOLOJÝSÝ ALANI;;;;;;;;
YENÝMAHALLE (MERKEZ);Ankara Mesleki ve Teknik Anadolu Lisesi;99.44;43.59;99.22;;Anadolu Meslek Programý;KONAKLAMA VE SEYAHAT HÝZMETLERÝ ALANI (SINAVLI);;;;;;;;
ÇANKAYA (MERKEZ);Çankaya Borsa Ýstanbul Mesleki ve Teknik Anadolu Lisesi;99.7;81.34;99.63;;Anadolu Meslek Programý;KONAKLAMA VE SEYAHAT HÝZMETLERÝ ALANI (SINAVLI);;;;;;;;
YENÝMAHALLE (MERKEZ);Ankara Mesleki ve Teknik Anadolu Lisesi;99.44;43.59;99.71;;Anadolu Meslek Programý;YÝYECEK ÝÇECEK HÝZMETLERÝ ALANI (SINAVLI);;;;;;;;
KALECÝK;Kalecik Þehit Mehmet Yýldýrým Mesleki ve Teknik Anadolu Lisesi;97.73;80.79;99.84;;Anadolu Teknik Programý;TARIM ALANI;;;;;;;;
