ÝLÇE;ALAN;OKUL ADI;2022;2023;2024;2025 Tahmin
ÇANKAYA (MERKEZ);FEN BÝLÝMLERÝ ALANI (FEN LÝS.);Ankara Fen Lisesi;0.11;0.08;0.08;
ÇANKAYA (MERKEZ);FEN BÝLÝMLERÝ ALANI (FEN LÝS.);Prof. Dr. Aziz Sancar Fen Lisesi;1.27;0.53;0.29;
PURSAKLAR;FEN BÝLÝMLERÝ ALANI (FEN LÝS.);Ankara Pursaklar Fen Lisesi;0.59;0.41;0.33;
YENÝMAHALLE (MERKEZ);ANADOLU LÝSESÝ;Atatürk Anadolu Lisesi;0.96;0.84;0.91;
ELMADAÐ;HAVACILIK VE UZAY TEKNOLOJÝSÝ;Özdemir Bayraktar Havacýlýk ve Uzay Teknolojileri Mesleki ve Teknik Anadolu Lisesi;0;1.02;0.96;
ÇANKAYA (MERKEZ);FEN BÝLÝMLERÝ ALANI (FEN LÝS.);Cumhuriyet Fen Lisesi;1.31;1.02;1.09;
SÝNCAN (MERKEZ);FEN BÝLÝMLERÝ ALANI (FEN LÝS.);Ankara Erman Ilýcak Fen Lisesi;3.19;1.63;1.13;
KEÇÝÖREN (MERKEZ);FEN BÝLÝMLERÝ ALANI (FEN LÝS.);Keçiören Vatansever Þehit Tümgeneral Aydoðan Aydýn Fen Lisesi;1.42;1.44;1.31;
YENÝMAHALLE (MERKEZ);FEN BÝLÝMLERÝ ALANI (FEN LÝS.);Yenimahalle Fen Lisesi;2.13;1.71;1.52;
YENÝMAHALLE (MERKEZ);ELEKTRÝK-ELEKTRONÝK TEKNOLOJÝSÝ ALANI;ASELSAN Mesleki ve Teknik Anadolu Lisesi;2.67;2.05;1.73;
ETÝMESGUT (MERKEZ);FEN BÝLÝMLERÝ ALANI (FEN LÝS.);Özkent Akbilek Fen Lisesi;2.53;2.25;1.9;
YENÝMAHALLE (MERKEZ);MAKÝNE VE TASARIM TEKNOLOJÝSÝ ALANI;ASELSAN Mesleki ve Teknik Anadolu Lisesi;2.67;2.05;2.38;
ÇANKAYA (MERKEZ);ANADOLU LÝSESÝ;Ankara Atatürk Lisesi;3.19;2.86;2.46;
ÇANKAYA (MERKEZ);ANADOLU LÝSESÝ;Gazi Anadolu Lisesi;2.83;2.86;2.72;
ÇANKAYA (MERKEZ);ANADOLU LÝSESÝ;Mehmet Emin Resulzade Anadolu Lisesi;3.06;3.05;3.03;
ETÝMESGUT (MERKEZ);ANADOLU LÝSESÝ;Þehit Oðuzhan Yaþar Anadolu Lisesi;4.04;3.6;3.3;
ÇANKAYA (MERKEZ);ANADOLU LÝSESÝ;Dr.Binnaz Ege-Dr.Rýdvan Ege Anadolu Lisesi;3.83;3.6;3.49;
ÇANKAYA (MERKEZ);ANADOLU LÝSESÝ;Hacý Ömer Tarman Anadolu Lisesi;4.48;4.39;4.04;
YENÝMAHALLE (MERKEZ);ANADOLU LÝSESÝ;Nermin Mehmet Çekiç Anadolu Lisesi;4.92;4.48;4.2;
KEÇÝÖREN (MERKEZ);ANADOLU LÝSESÝ;Vecihi Hürkuþ Anadolu lisesi;5.25;4.73;4.29;
ÇANKAYA (MERKEZ);ANADOLU LÝSESÝ;Hacý Ömer Tarman Anadolu Lisesi;4.48;4.76;4.44;
YENÝMAHALLE (MERKEZ);FEN VE SOSYAL BÝLÝMLER PROGRAMI;Tevfik Ýleri Anadolu Ýmam Hatip Lisesi;5.77;4.54;4.77;
MAMAK (MERKEZ);FEN BÝLÝMLERÝ ALANI (FEN LÝS.);Mamak Fen Lisesi;5.36;4.84;4.96;
YENÝMAHALLE (MERKEZ);FEN VE SOSYAL BÝLÝMLER PROGRAMI;Tevfik Ýleri Anadolu Ýmam Hatip Lisesi;5.77;5.37;5.22;
ÇANKAYA (MERKEZ);ANADOLU LÝSESÝ;Ayrancý Anadolu Lisesi;5.95;5.51;5.31;
ETÝMESGUT (MERKEZ);ELEKTRÝK-ELEKTRONÝK TEKNOLOJÝSÝ ALANI;Cezeri Yeþil Teknoloji Mesleki ve Teknik Anadolu Lisesi;7.45;6.22;5.35;
SÝNCAN (MERKEZ);ANADOLU LÝSESÝ;Süleyman Demirel Anadolu Lisesi;6.52;5.93;6.15;
ÇANKAYA (MERKEZ);ANADOLU LÝSESÝ;Betül Can Anadolu Lisesi;6.09;6.2;6.17;
ALTINDAÐ (MERKEZ);FEN BÝLÝMLERÝ ALANI (FEN LÝS.);Altýndað Yýldýrým Beyazýt Fen Lisesi;6.35;0;6.18;
YENÝMAHALLE (MERKEZ);ANADOLU LÝSESÝ;Mustafa Azmi Doðan Anadolu Lisesi;7.25;6.8;6.47;
ETÝMESGUT (MERKEZ);YENÝLENEBÝLÝR ENERJÝ TEKNOLOJÝLERÝ ALANI;Cezeri Yeþil Teknoloji Mesleki ve Teknik Anadolu Lisesi;7.45;6.22;6.86;
ÇANKAYA (MERKEZ);ANADOLU LÝSESÝ;Ayhan Sümer Anadolu Lisesi;6.88;6.88;6.88;
KEÇÝÖREN (MERKEZ);ANADOLU LÝSESÝ;Aydýnlýkevler Anadolu Lisesi;7.31;7.02;7.04;
ALTINDAÐ (MERKEZ);ANADOLU LÝSESÝ;Ankara Lisesi;7.57;7.14;7.14;
ÇANKAYA (MERKEZ);ANADOLU LÝSESÝ;Ayrancý Anadolu Lisesi;7.18;5.51;7.16;
ÇANKAYA (MERKEZ);ANADOLU LÝSESÝ;Ümitköy Anadolu Lisesi;7.88;7.06;7.23;
ETÝMESGUT (MERKEZ);ANADOLU LÝSESÝ;Þehit Ömer Halisdemir Anadolu Lisesi;8.24;7.66;7.23;
KAHRAMANKAZAN;FEN BÝLÝMLERÝ ALANI (FEN LÝS.);Mustafa Hakan Güvençer Fen Lisesi;8.37;8.19;7.61;
SÝNCAN (MERKEZ);ANADOLU LÝSESÝ;Fatih Anadolu Lisesi;9.74;8.54;8.47;
YENÝMAHALLE (MERKEZ);FEN VE SOSYAL BÝLÝMLER PROGRAMI;Þehit Ömer Halisdemir Anadolu Ýmam Hatip Lisesi;10.87;9.22;8.7;
PURSAKLAR;ANADOLU LÝSESÝ;Pursaklar Ayyýldýz Anadolu Lisesi;8.63;8.54;8.74;
POLATLI;FEN BÝLÝMLERÝ ALANI (FEN LÝS.);Polatlý TOBB Fen Lisesi;8.75;8.38;8.77;
GÖLBAÞI;ANADOLU LÝSESÝ;Gölbaþý Anadolu Lisesi;8.93;9.2;8.85;
MAMAK (MERKEZ);ANADOLU LÝSESÝ;Yavuz Sultan Selim Anadolu Lisesi;9.07;9.06;8.92;
ÇUBUK;FEN BÝLÝMLERÝ ALANI (FEN LÝS.);Meliha Hasanali Bostan Çubuk Fen Lisesi;8.85;8.82;8.95;
ALTINDAÐ (MERKEZ);ANADOLU LÝSESÝ;Gazi Lisesi;0;10.82;9.65;
YENÝMAHALLE (MERKEZ);FEN VE TEKNOLOJÝ PROGRAMI;Þehit Cengiz Polat Anadolu Ýmam Hatip Lisesi;14.23;11.26;9.94;
ÇANKAYA (MERKEZ);SOSYAL BÝLÝMLER PROGRAMI;Ankara Türk Telekom Sosyal Bilimler Lisesi;10.78;10.29;10.09;
KEÇÝÖREN (MERKEZ);ANADOLU LÝSESÝ;Aktepe Þehit Köksal Kaþaltý Anadolu lisesi;12.06;11.33;10.25;
KIZILCAHAMAM;UÇAK BAKIM ALANI;TUSAÞ Þehit Hakan Gülþen Mesleki ve Teknik Anadolu Lisesi;14.52;11.95;10.78;
SÝNCAN (MERKEZ);FEN VE SOSYAL BÝLÝMLER PROGRAMI;Erkan - Volkan Yiðit Anadolu Ýmam Hatip Lisesi;13.97;11.51;11.26;
ELMADAÐ;FEN BÝLÝMLERÝ ALANI (FEN LÝS.);Hasanoðlan Atatürk Fen Lisesi;11.14;10.27;11.37;
MAMAK (MERKEZ);ANADOLU LÝSESÝ;Çaðrýbey Anadolu Lisesi;11.09;12.08;11.45;
BEYPAZARI;FEN BÝLÝMLERÝ ALANI (FEN LÝS.);Hatice-Cemil Ercan Fen Lisesi;12.94;11.69;11.5;
YENÝMAHALLE (MERKEZ);ELEKTRÝK-ELEKTRONÝK TEKNOLOJÝSÝ ALANI;Teknopark Ankara Ývedik OSB Mesleki ve Teknik Anadolu Lisesi;12.42;11.88;11.62;
YENÝMAHALLE (MERKEZ);BÝLÝÞÝM TEKNOLOJÝLERÝ ALANI;Teknopark Ankara Ývedik OSB Mesleki ve Teknik Anadolu Lisesi;12.42;16.91;11.95;
YENÝMAHALLE (MERKEZ);FEN VE TEKNOLOJÝ PROGRAMI;Þehit Cengiz Polat Anadolu Ýmam Hatip Lisesi;14.23;0;12.35;
KEÇÝÖREN (MERKEZ);SOSYAL BÝLÝMLER PROGRAMI;Keçiören Sosyal Bilimler Lisesi;11.08;12.34;12.94;
ÇANKAYA (MERKEZ);SOSYAL BÝLÝMLER PROGRAMI;Hasan Ali Yücel Sosyal Bilimler Lisesi;13.06;13.12;12.98;
ALTINDAÐ (MERKEZ);ANADOLU LÝSESÝ;Piri Reis Anadolu Lisesi;15.8;13.77;13.11;
MAMAK (MERKEZ);ANADOLU LÝSESÝ;Baþkent Anadolu Lisesi;13.46;13.66;13.32;
YENÝMAHALLE (MERKEZ);UÇAK BAKIM ALANI;Gazi Mesleki ve Teknik Anadolu Lisesi;13.66;14.02;13.97;
YENÝMAHALLE (MERKEZ);ELEKTRÝK-ELEKTRONÝK TEKNOLOJÝSÝ ALANI (SINAVLI);Teknopark Ankara Ývedik OSB Mesleki ve Teknik Anadolu Lisesi;12.42;16.91;14.11;
YENÝMAHALLE (MERKEZ);BÝLÝÞÝM TEKNOLOJÝLERÝ ALANI;Gazi Mesleki ve Teknik Anadolu Lisesi;13.66;16.98;14.13;
YENÝMAHALLE (MERKEZ);BÝLÝÞÝM TEKNOLOJÝLERÝ ALANI (SINAVLI);Teknopark Ankara Ývedik OSB Mesleki ve Teknik Anadolu Lisesi;12.42;16.91;14.38;
YENÝMAHALLE (MERKEZ);FEN VE SOSYAL BÝLÝMLER PROGRAMI;Batýkent Þehit Demet Sezen Kýz Anadolu Ýmam Hatip Lisesi;20.39;17.99;14.46;
ÞEREFLÝKOÇHÝSAR;FEN BÝLÝMLERÝ ALANI (FEN LÝS.);Yavuz Sultan Selim Fen Lisesi;14.78;14.87;15.15;
YENÝMAHALLE (MERKEZ);MOTORLU ARAÇLAR TEKNOLOJÝSÝ ALANI;Gazi Mesleki ve Teknik Anadolu Lisesi;13.66;16.98;15.37;
ETÝMESGUT (MERKEZ);ANADOLU LÝSESÝ;Sezai Karakoç Anadolu Lisesi;15.99;15.46;15.97;
YENÝMAHALLE (MERKEZ);HAFIZLIK PROJESÝ (Fen ve Sosyal Bilimler Programý);Tevfik Ýleri Anadolu Ýmam Hatip Lisesi;5.77;21.39;15.99;
KEÇÝÖREN (MERKEZ);FEN VE SOSYAL BÝLÝMLER PROGRAMI;Atatürk Anadolu Ýmam Hatip Lisesi;19.03;17.99;16.1;
ALTINDAÐ (MERKEZ);SOSYAL BÝLÝMLER PROGRAMI;Sabahattin Zaim Sosyal Bilimler Lisesi;17.94;18.82;16.63;
YENÝMAHALLE (MERKEZ);MAKÝNE VE TASARIM TEKNOLOJÝSÝ ALANI (SINAVLI);Teknopark Ankara Ývedik OSB Mesleki ve Teknik Anadolu Lisesi;12.42;18.15;16.64;
POLATLI;ANADOLU LÝSESÝ;Polatlý Anadolu Lisesi;18.33;17.13;16.97;
ÇUBUK;FEN VE SOSYAL BÝLÝMLER PROGRAMI;Þehit Ömer Takdemir Anadolu Ýmam Hatip Lisesi;18.7;20.27;17.71;
ETÝMESGUT (MERKEZ);BÝLÝÞÝM TEKNOLOJÝLERÝ ALANI;Elvanköy Borsa Ýstanbul Mesleki ve Teknik Anadolu Lisesi;18.87;18.15;18.3;
KALECÝK;FEN BÝLÝMLERÝ ALANI (FEN LÝS.);Mehmet Doðan Fen Lisesi;16.49;16.61;18.48;
ÇANKAYA (MERKEZ);FEN VE SOSYAL BÝLÝMLER PROGRAMI;Ümitköy Kýz Anadolu Ýmam Hatip Lisesi;40.88;38.16;18.68;
NALLIHAN;FEN BÝLÝMLERÝ ALANI (FEN LÝS.);Bilal Güngör Fen Lisesi;18.48;18.61;18.97;
YENÝMAHALLE (MERKEZ);BÝLÝÞÝM TEKNOLOJÝLERÝ ALANI;Yenimahalle Þehit Mehmet Þengül Mesleki ve Teknik Anadolu Lisesi;21.41;22.25;19.45;
ALTINDAÐ (MERKEZ);FEN VE SOSYAL BÝLÝMLER PROGRAMI;Altýndað Anadolu Ýmam Hatip Lisesi;20.68;20.33;19.79;
YENÝMAHALLE (MERKEZ);ELEKTRÝK-ELEKTRONÝK TEKNOLOJÝSÝ ALANI;Yenimahalle Þehit Mehmet Þengül Mesleki ve Teknik Anadolu Lisesi;21.41;22.25;19.85;
ÇUBUK;ANADOLU LÝSESÝ;Çubuk Yýldýrým Beyazýt Anadolu Lisesi;20.7;21.79;19.9;
ÇANKAYA (MERKEZ);FEN VE SOSYAL BÝLÝMLER PROGRAMI;Ümitköy Anadolu Ýmam Hatip Lisesi;37.25;22.73;19.94;
SÝNCAN (MERKEZ);ELEKTRÝK-ELEKTRONÝK TEKNOLOJÝSÝ ALANI;Fatih Mesleki ve Teknik Anadolu Lisesi;26.53;23.18;20.4;
KEÇÝÖREN (MERKEZ);SAÐLIK HÝZMETLERÝ ALANI;Keçiören Ýbn-i Sina Mesleki ve Teknik Anadolu Lisesi;18.97;21.13;20.99;
KEÇÝÖREN (MERKEZ);FEN VE SOSYAL BÝLÝMLER PROGRAMI;Þehit Ahmet Özsoy Kýz Anadolu Ýmam Hatip Lisesi;25.82;21.24;21.19;
YENÝMAHALLE (MERKEZ);MAKÝNE VE TASARIM TEKNOLOJÝSÝ ALANI;Yenimahalle Þehit Mehmet Þengül Mesleki ve Teknik Anadolu Lisesi;21.41;19.96;21.35;
PURSAKLAR;FEN VE SOSYAL BÝLÝMLER PROGRAMI;Pursaklar Anadolu Ýmam Hatip Lisesi;24.52;23.32;21.45;
ALTINDAÐ (MERKEZ);FEN VE SOSYAL BÝLÝMLER PROGRAMI;Ankara Kýz Anadolu Ýmam Hatip Lisesi;32.31;25.92;22.58;
GÜDÜL;FEN BÝLÝMLERÝ ALANI (FEN LÝS.);Hasan Hüseyin Akdede Fen Lisesi;21.2;21.6;23.14;
AKYURT;ANADOLU LÝSESÝ;Yýldýrým Beyazýt Anadolu Lisesi;23.47;25.64;23.21;
GÖLBAÞI;FEN VE SOSYAL BÝLÝMLER PROGRAMI;Þehit Sebahattin Koçak Kýz Anadolu Ýmam Hatip Lisesi;49.14;42.97;23.34;
MAMAK (MERKEZ);FEN VE SOSYAL BÝLÝMLER PROGRAMI;Mamak Anadolu Ýmam Hatip Lisesi;28.49;25.62;24.03;
ELMADAÐ;ANADOLU LÝSESÝ;Gazi Þahin Anadolu Lisesi;25.77;24.13;25.6;
KEÇÝÖREN (MERKEZ);FEN VE SOSYAL BÝLÝMLER PROGRAMI;Mustafa Asým Köksal Anadolu Ýmam Hatip Lisesi;33.09;30.45;26;
YENÝMAHALLE (MERKEZ);YENÝLENEBÝLÝR ENERJÝ TEKNOLOJÝLERÝ ALANI;Þehit Murat Üçöz Mesleki ve Teknik Anadolu Lisesi;0;26.43;26.15;
YENÝMAHALLE (MERKEZ);PLASTÝK TEKNOLOJÝSÝ ALANI (SINAVLI);Teknopark Ankara Ývedik OSB Mesleki ve Teknik Anadolu Lisesi;12.42;11.49;26.54;
YENÝMAHALLE (MERKEZ);FEN VE SOSYAL BÝLÝMLER PROGRAMI;Uluslararasý Prof.Dr.Muhammed Hamidullah Anadolu Ýmam Hatip Lisesi;26.05;25.34;26.89;
